######################
# New York (NY)

magichat,         Magic Hat Brewing Co.|Magic Hat Brewing Company, VT, South Burlington | VT
hillfarmstead,    Hill Farmstead Brewery, VT, Greensboro | VT
longtrailbrewing, Long Trail Brewing Co.|Long Trail Brewing Company, VT, Bridgewater Corners | VT


######################
# Pennsylvania (PA)

victory,      Victory Brewing Co.|Victory Brewing Company, PA, Downingtown | PA
troegs,       Tröegs Brewing Co.|Tröegs Brewing Company, PA, Hershey | PA
yuengling,    Yuengling Brewery, PA, Pottsville | PA
weyerbacher,  Weyerbacher Brewing Co.|Weyerbacher Brewing Company, PA, Easton | PA
slyfox,       Sly Fox Brewing Co.|Sly Fox Brewing Company, PA, Pottstown | PA
voodoo,       Voodoo Brewing Co., PA, Meadville | PA
fullpint,     Full Pint Brewing Co.|Full Pint Brewing Company, PA, North Versailles | PA
yardsbrewing, Yards Brewing Co., PA, Philadelphia | PA


#######################
# Texas (TX)

spoetzl,     Spoetzl Brewery, TX, Shiner | TX
karbach,     Karbach Brewing Co, TX, Houston | TX
jesterking,  Jester King Craft Brewery, TX, Austin | TX
saintarnold, Saint Arnold Brewing Co.|Saint Arnold Brewing Company, TX, Houston | TX
deepellum,   Deep Ellum Brewing Co.|Deep Ellum Brewing Company, TX, Dallas | TX
hopsngrain,  Hops & Grain, TX, Austin | TX

# fix: can handle key starting w/ number??
# 1512 Brewing Company, TX, Austin | TX


#######################
# Hawaii (HI)

kona, Kona Brewing Co.|Kona Brewing Company, HI, Honolulu | HI

#################
# Alaska (AK)

alaskan, Alaskan Brewing Co.|Alaskan Brewery Company, 1986, AK, city:juneau, Juneau | AK 99801-9540 // 5429 Shaune Dr.


#########################
# Maryland (MD)

flyingdog, Flying Dog Brewery, MD, Frederick | MD


############################
# Missouri (MO)

boulevard, Boulevard Brewing Co., MO, Kansas City | MO
schlafly,  Schlafly Beer (The Saint Louis Brewery), MO, Saint Louis| MO


##################
# Georgia (GA)

terrapin,   Terrapin Beer Co.|Terrapin Beer Company, GA, Athens | GA
sweetwater, SweetWater Brewing Co.|SweetWater Brewing Company, GA, Atlanta | GA

#########################
# Maine (ME)

allagash, Allagash Brewing Co.|Allagash Brewing Company, ME, Portland | ME


###################################
# Utah (UT)

uinta, Uinta Brewing Co.|Uinta Brewingmpany, UT, Salt Lake City | UT
epic,  Epic Brewing Co., UT, Salt Lake City | UT

##########################
# Minnesota (MN)

surlybrewing,  Surly Brewing Company, MN, Brooklyn Center | MN
summitbrewing, Summit Brewing Co.|Summit Brewing Company, MN, St. Paul | MN



###################################
##### todo: add to state sections


Foothills Brewing, NC, Winston-Salem | NC
Highland Brewing Co.|Highland Brewing Company, NC, Asheville | NC
Mother Earth Brewing, NC, Kinston | NC
The Duck-Rabbit Craft Brewery, NC, Farmville | NC

Prairie Artisan Ales, OK, Tulsa | OK

Heavy Seas Beer, MD, Baltimore | MD
DuClaw Brewing Co.|DuClaw Brewing Company, MD, Bel Air | MD
Stillwater Artisanal Ales, MD, Baltimore | MD
Evolution Craft Brewing Co.|Evolution Craft Brewing Company, MD, Salisbury | MD

Lakefront Brewery, WI, Milwaukee | WI

Starr Hill Brewing Co.|Starr Hill Brewing Company, VA, Crozet | VA
Blue Mountain Brewery, VA, Afton | VA

Smuttynose Brewing Co., NH, Portsmouth | NH

Perennial Artisan Ales, MO, St Louis | MO
Urban Chestnut Brewing Co.|Urban Chestnut Brewing Company, MO, Saint Louis | MO

Maine Beer Co.|Maine Beer Company, ME, Portland | ME
