#####
Brauerei Erharting Jakob Röhrl, Erharting // 
Brauerei Stierberg, Obertaufkirchen // 
Weißbräu Unertl, Mühldorf am Inn // 
Zum Steer, Mühldorf am Inn // 



# ---------------
# --  Landkreis Neuburg-Schrobenhausen

Juliusbräu, Neuburg an der Donau // 


# ---------------
# --  Landkreis Pfaffenhofen an der Ilm

Müllerbräu, Pfaffenhofen an der Ilm // 
Urbanusbräu - Brauhaus Pfaffenhofen, Pfaffenhofen an der Ilm // 

Bayrische Graf zu Toerring-Jettenbach-Brauereien, Pörnbach // 
Bürgerbräu Wolnzach, Wolnzach // 
Klosterbrauerei Scheyern, Scheyern // 


# ---------------
# --  Kreis Starnberg

andechs, Klosterbrauerei Andechs ***, 1455, www.andechs.de, 82346 Andechs // Bergstraße 2  


# ---------------
# --  Kreis Traunstein

Brauerei Schönram, www.brauerei-schoenram.de, 83367 Petting/Schönram // Salzburger Str. 17  

Brauhaus Jacob Wochinger & Sohn, Traunstein // 
Hofbräuhaus Traunstein Josef Sailer, Traunstein // 
Maximiliansbräu GmbH, Traunstein // 
Privatbrauerei Schnitzlbaumer, Traunstein // 

Camba Bavaria, Truchtlaching // 
Baderbräu, Schnaitsee // 
Klosterbrauerei Baumburg, Altenmarkt an der Alz // 
Schlossbrauerei Stein Wiskott, Stein an der Traun // 
Stadler-Bräu, Fridolfing // 
Weissbräu Schwendl, Tacherting // 



# ---------------
# --  Kreis Weilheim-Schongau

Dachsbräu, Weilheim in Oberbayern // 
Maxbrauerei Biermanufaktur, Altenstadt // 


